righttrack,thermom,economy,race,income,gopdislike,betteroff,willbetteroff,gwbangry,libcon,econnextyear,partyid,bushiraq,rtaxcuts,morals,edulevel
1,85,2,40,22,0,2,3,,5,3,5,2,1,2,6
5,40,5,10,12,0,5,3,3,1,3,1,5,1,3,5
5,85,3,50,,2,3,3,,5,1,6,2,,5,3
1,100,2,50,,0,2,2,,5,,6,1,,3,4
1,100,2,50,,0,4,3,,3,2,2,1,,5,3
1,85,2,40,23,1,1,1,3,5,2,5,2,1,3,4
5,0,3,25,17,5,2,3,1,1,2,2,5,4,4,4
1,100,3,50,23,0,2,4,,5,3,6,2,2,2,6
5,70,3,50,20,1,1,3,,5,3,5,2,1,4,4
5,0,5,50,17,3,3,3,1,1,3,2,5,5,4,6
5,85,5,50,6,0,1,1,,5,2,6,1,1,2,3
5,15,5,10,18,1,4,1,1,5,2,2,5,5,4,4
5,60,3,50,14,0,2,3,3,,3,3,5,,4,4
5,100,4,10,15,0,2,3,2,5,3,2,5,1,1,4
1,40,4,10,,1,4,3,1,5,3,1,5,2,3,3
5,15,4,50,20,4,2,2,2,1,4,0,5,5,3,5
5,50,4,10,,0,4,3,4,5,3,2,5,,4,1
5,30,4,50,21,3,1,4,3,5,4,3,5,2,4,6
5,0,4,50,18,4,3,4,2,1,4,0,5,5,4,6
5,70,,50,5,0,1,2,1,5,3,3,,1,4,3
5,60,4,50,8,0,2,3,,5,4,2,5,,3,3
5,0,2,50,23,5,3,3,1,1,2,0,5,5,4,7
1,100,2,50,20,0,2,1,,5,2,6,1,2,4,4
5,60,3,20,17,4,4,2,3,5,2,5,5,,5,6
5,50,4,50,16,3,5,3,3,5,2,3,5,5,5,2
5,70,5,10,9,0,3,2,3,5,4,0,5,5,4,3
5,5,4,50,15,0,3,2,,5,3,1,2,,3,4
5,30,4,50,9,1,3,3,3,5,3,0,4,,3,3
5,70,4,50,13,0,4,4,,5,4,,4,2,3,2
1,85,3,50,13,1,3,3,,5,2,4,2,,4,5
5,85,5,50,5,0,1,4,3,1,3,3,2,,3,3
1,100,2,50,17,0,3,2,,5,2,6,1,1,3,6
5,0,3,50,23,4,3,3,1,1,4,0,5,5,5,7
5,30,4,50,12,0,4,3,3,5,3,4,5,5,4,4
5,100,2,50,2,0,3,3,,,3,4,1,,4,1
5,65,2,50,16,1,1,3,4,5,3,5,4,2,3,7
